genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Goldfaden;Japanischer G.;Coptis;C. japonica var. disse;Z;NA;NA
Goldfaden;Fünfblättriger G.;Coptis;C. quinquefolia;Z;NA;NA
Goldfaden;Dreiblättriger G.;Coptis;C. trifolia;Z;NA;NA
Scheinanemone;Großblättrige Sch.;Anemonopsis;A. macrophylla;Z;NA;NA
Silberkerze, Wanzenkraut;Juli-S.;Cimicifuga;C. racemosa;Z;N;NA
Silberkerze, Wanzenkraut;Große S.;Cimicifuga;C. elata;Z;NA;NA
Silberkerze, Wanzenkraut;September-S., Japanische S.;Cimicifuga;C. japonica;Z;NA;NA
Silberkerze, Wanzenkraut;Appalachen-S.;Cimicifuga;C. rubifolia;Z;NA;NA
Silberkerze, Wanzenkraut;August-S.;Cimicifuga;C. dahurica;Z;NA;NA
Silberkerze, Wanzenkraut;Oktober-S.;Cimicifuga;C. simplex;Z;NA;NA
Silberkerze, Wanzenkraut;Amerikanische S.;Cimicifuga;C. americana;Z;NA;NA
Silberkerze, Wanzenkraut;Stinkende S.;Cimicifuga;C. foetida;Z;NA;NA
Silberkerze, Wanzenkraut;Europäische S.;Cimicifuga;C. europaea;Z;NA;NA
Christophskraut;Schwarzfrüchtiges Ch.;Actaea;A. spicata;Z;NA;W
Christophskraut;Asiatisches Ch.;Actaea;A. asiatica;Z;NA;NA
Christophskraut;Rotes Ch.;Actaea;A. rubra;Z;NA;NA
Christophskraut;Dickstieliges Ch.;Actaea;A. pachypoda;Z;NA;NA
Nieswurz, Christrose;Stinkende N.;Helleborus;H. foetidus;Z;NA;W
