Vernacular_name;Species;Genus;Author
Nelke;Karthäuser-N.;Dianthus;L.
Nelke;Kaisernelken, Heddewigsnelken, Chinesernelken;Dianthus;L.
Nelke;Chinesische N.;Dianthus;L.
Nelke;Gletscher-N.;Dianthus;L.
Nelke;Bulgarische N.;Dianthus;L.
Nelke;Freyn-N.;Dianthus;L.
Nelke;Alpen-N.;Dianthus;L.
Nelke;Glänzende N.;Dianthus;L.
Nelke;Heide-N.;Dianthus;L.
Nelke;Schlanke N.;Dianthus;L.
Nelke;Borstgrasförmige N.;Dianthus;L.
Nelke;Garten-N.;Dianthus;L.
Nelke;Pfingst-N.;Dianthus;L.
Nelke;Stein-N.;Dianthus;L.
Nelke;Feder-N.;Dianthus;L.
Nelke;Pracht-N.;Dianthus;L.
Nelke;Auvergne-N.;Dianthus;L.
Nelke;Montpellier-N.;Dianthus;L.
Nelke;Sand-N.;Dianthus;L.
Nelke;Geröll-N.;Dianthus;L.
Leimkraut, Lichtnelke, Pechnelke;Nelken-L., Morgenröschen;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Himmelsröschen;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Hängendes L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Rote Lichtnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Großblütiges L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Zawadzki-L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Klippen-L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Stängelloses L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Alpen-L., Alpen-Strahlensame;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Vierzähniges L., Kleiner Strahlensame;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Kaukasisches L.;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Alpen-Pechnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Jupiter-Lichtnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Brennende Liebe;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Großblütige Lichtnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Pechnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Kuckucks-Lichtnelke;Silene;L.
Leimkraut, Lichtnelke, Pechnelke;Vexiernelke, Kronen-Lichtnelke;Silene;L.
Rade;Korn-R.;Agrostemma;L.
Spergel, Spark;Acker-S.;Spergula;L.
Mauermiere, Nagelkraut;Silber-M.;Paronychia;MILL.
Mauermiere, Nagelkraut;Kapela-M.;Paronychia;MILL.
Mauermiere, Nagelkraut;Kopfige M.;Paronychia;MILL.
Bruchkraut;Kahles B.;Herniaria;L.
Bruchkraut;Behaartes B.;Herniaria;L.
Brandschopf;Silber-B.;Celosia;L.
Amarant, Fuchsschwanz;Garten-F.;Amaranthus;L.
Amarant, Fuchsschwanz;Dreifarben-A., Papageienkraut;Amaranthus;L.
Amarant, Fuchsschwanz;Trauer-F.;Amaranthus;L.
Amarant, Fuchsschwanz;Rispiger A.;Amaranthus;L.
Spreublume;Spreublume;Achyranthes;L.
Papageienblatt;Papageienblatt;Alternanthera;FORSSK.
Kugelamarant;Niedlicher K.;Gomphrena;L.
Kugelamarant;Niederliegender K.;Gomphrena;L.
Kugelamarant;Echter K.;Gomphrena;L.
Iresine;Brasilianische I., Brutblatt;Iresine;P.
Iresine;Ekuadorianische I., Linden-I.;Iresine;P.
Rankspinat, Hablitzie;Rankspinat, Schmerwurz-Hablitzie;Hablitzia;M. BIEB.
Rübe;Rübe, Beta-Rübe, Mangold;Beta;L.
Rübe;Schnitt-Mangold;Beta;L.
Rübe;Stiel-Mangold;Beta;L.
Rübe;Mangold;Beta;L.
Rübe;Rübe, Beta-Rübe;Beta;L.
Rübe;Rote R., Rote Bete;Beta;L.
Rübe;Gelbe R., Gelbe Bete;Beta;L.
Rübe;Futter-R., Runkel-R.;Beta;L.
Rübe;Zucker-R.;Beta;L.
Gänsefuß;Guter Heinrich;Chenopodium;L.
Gänsefuß;Klebriger G., Eichenblättriger G.;Chenopodium;L.
Gänsefuß;Wurmsamen, Mexikanisches Teekraut, Jesuitentee;Chenopodium;L.
Gänsefuß;Durchblätterter Erdbeerspinat;Chenopodium;L.
Gänsefuß;Kopfiger Erdbeerspinat;Chenopodium;L.
Gänsefuß;Stechapfelblättriger G.;Chenopodium;L.
Gänsefuß;Stink-G.;Chenopodium;L.
Gänsefuß;Reis-G., Reismelde, Reisspinat, Quinoa;Chenopodium;L.
Gänsefuß;Riesen-G., Spinatbaum;Chenopodium;L.
Melde;Garten-M.;Atriplex;L.
Spinat;Spinat;Spinacia;L.
Dornmelde, Sommerzypresse;Besen-D., Sommerzypresse;Bassia;JUSS.
Bitterwurz, Lewisie;Kurzkelchige B.;Lewisia;PURSH
Bitterwurz, Lewisie;Nevada-B. –;Lewisia;PURSH
Bitterwurz, Lewisie;Auferstehende B.;Lewisia;PURSH
Bitterwurz, Lewisie;Gewöhnliche B.;Lewisia;PURSH
Bitterwurz, Lewisie;Columbia-B.;Lewisia;PURSH
Bitterwurz, Lewisie;Große B.;Lewisia;PURSH
Portulak;Portulakröschen, Großblütiger P.;Portulaca;L.
Portulak;Flachblättriger P. –;Portulaca;L.
Portulak;Gemüse-P.;Portulaca;L.
Calandrinie;Großblütige C.;Calandrinia;HUMB.,
Calandrinie;Schirm-C., Doldenblütige C. –;Calandrinia;HUMB.,
Claytonie;Tellerkraut, Kubaspinat;Claytonia;L.
Claytonie;Sibirische C.;Claytonia;L.
Claytonie;Virginische C.;Claytonia;L.
Wollknöterich;Douglas-W.;Eriogonum;MICHX.
Wollknöterich;Rasenbildender W.;Eriogonum;MICHX.
Wollknöterich;Eiblättriger W.;Eriogonum;MICHX.
Wollknöterich;Kennedy-W.;Eriogonum;MICHX.
Wollknöterich;Schnee-W.;Eriogonum;MICHX.
Wollknöterich;Büschelblättriger W.;Eriogonum;MICHX.
Wollknöterich;Goldner W.;Eriogonum;MICHX.
Wollknöterich;Korbblütiger W.;Eriogonum;MICHX.
Wollknöterich;Flaumiger W., Schwefelblütiger W.;Eriogonum;MICHX.
Säuerling;Alpen-S.;Oxyria;HILL
Rhabarber;Königs-Rh.;Rheum;L.
Rhabarber;Edel-Rh.;Rheum;L.
Rhabarber;Gewöhnlicher Rh., Wellblatt-Rh.;Rheum;L.
Rhabarber;Himalaja-Rh.;Rheum;L.
Rhabarber;Gebräuchlicher Rh., Medizinal-Rh.;Rheum;L.
Rhabarber;Medizinal-Rh.;Rheum;L.
Rhabarber;Kron-Rh.;Rheum;L.
Rhabarber;Zier-Rh.;Rheum;L.
